time,x_pos,y_pos,velocity,rotation,action
0.00000,3.65690,5.93678,0.00000,3.14159,8
0.12504,3.64126,5.93678,0.25008,3.14159,0
0.17683,3.62563,5.93678,0.35367,3.14159,0
0.21658,3.60999,5.93678,0.43315,3.14159,0
0.25008,3.59436,5.93678,0.50016,3.14159,0
0.27960,3.57872,5.93678,0.55920,3.14159,0
0.30629,3.56309,5.93678,0.61257,3.14159,0
0.33083,3.54745,5.93678,0.66165,3.14159,0
0.35367,3.53182,5.93679,0.70734,3.14159,0
0.37512,3.51618,5.93679,0.75024,3.14159,0
0.39541,3.50055,5.93679,0.79082,3.14159,0
0.41471,3.48491,5.93679,0.82942,3.14159,0
0.43315,3.46928,5.93679,0.86631,3.14159,0
0.45084,3.45364,5.93680,0.90168,3.14159,0
0.46786,3.43801,5.93680,0.93572,3.14159,0
0.48428,3.42237,5.93680,0.96856,3.14159,0
0.50016,3.40674,5.93680,1.00032,3.14159,0
0.51555,3.39110,5.93681,1.03111,3.14159,0
0.53050,3.37547,5.93681,1.06100,3.14159,0
0.54504,3.35983,5.93681,1.09008,3.14159,0
0.55920,3.34420,5.93682,1.11840,3.14159,0
0.57301,3.32856,5.93682,1.14601,3.14159,0
0.58649,3.31293,5.93682,1.17298,3.14159,0
0.59967,3.29729,5.93683,1.19935,3.14159,0
0.61257,3.28166,5.93683,1.22514,3.14159,0
0.62520,3.26602,5.93684,1.25040,3.14159,0
0.63758,3.25039,5.93684,1.27517,3.14159,0
0.64973,3.23475,5.93685,1.29946,3.14159,0
0.66165,3.21912,5.93685,1.32330,3.14159,0
0.67336,3.20348,5.93686,1.34673,3.14159,0
0.68487,3.18785,5.93686,1.36975,3.14159,0
0.69620,3.17221,5.93687,1.39239,3.14159,0
0.70734,3.15658,5.93688,1.41467,3.14159,0
0.71830,3.14094,5.93688,1.43660,3.14159,0
0.72910,3.12530,5.93689,1.45821,3.14159,0
0.73975,3.10967,5.93689,1.47950,3.14159,0
0.75024,3.09403,5.93690,1.50048,3.14159,0
0.76059,3.07840,5.93691,1.52118,3.14159,0
0.77080,3.06276,5.93691,1.54160,3.14159,0
0.78088,3.04713,5.93692,1.56175,3.14159,0
0.79082,3.03149,5.93693,1.58165,3.14159,0
0.80065,3.01586,5.93694,1.60130,3.14159,0
0.81035,3.00022,5.93695,1.62071,3.14159,0
0.81994,2.98459,5.93695,1.63989,3.14159,0
0.82942,2.96895,5.93696,1.65885,3.14159,0
0.83880,2.95332,5.93697,1.67759,3.14159,0
0.84807,2.93768,5.93698,1.69613,3.14159,0
0.85723,2.92205,5.93699,1.71447,3.14159,0
0.86631,2.90641,5.93700,1.73261,3.14159,0
0.87528,2.89078,5.93701,1.75057,3.14159,0
0.88417,2.87514,5.93702,1.76834,3.14159,0
