time,x_pos,y_pos,velocity,rotation,action
0.00000,1.00000,5.94000,0.00000,3.14159,8
0.12565,0.98421,5.94000,0.25130,3.14159,0
0.17769,0.96843,5.94000,0.35539,3.14159,0
0.21763,0.95264,5.94000,0.43526,3.14159,0
0.25130,0.93685,5.94000,0.50259,3.14159,0
0.28096,0.92106,5.94000,0.56191,3.14159,0
0.30777,0.90528,5.94000,0.61555,3.14159,0
0.33243,0.88949,5.94000,0.66486,3.14159,0
0.35539,0.87370,5.94000,0.71077,3.14159,0
0.37694,0.85791,5.94000,0.75389,3.14159,0
0.39733,0.84213,5.94000,0.79467,3.14159,0
0.41673,0.82634,5.94000,0.83345,3.14159,0
0.43526,0.81055,5.94000,0.87051,3.14159,0
0.45303,0.79476,5.94000,0.90606,3.14159,0
0.47013,0.77898,5.94000,0.94026,3.14159,0
0.48663,0.76319,5.94000,0.97326,3.14159,0
0.50259,0.74740,5.94000,1.00518,3.14159,0
0.51806,0.73162,5.94000,1.03612,3.14159,0
0.53308,0.71583,5.94000,1.06616,3.14159,0
0.54769,0.70004,5.94000,1.09537,3.14159,0
0.56191,0.68425,5.94000,1.12383,3.14159,0
0.57579,0.66847,5.94000,1.15158,3.14159,0
0.58934,0.65268,5.94000,1.17868,3.14159,0
0.60258,0.63689,5.94000,1.20517,3.14159,0
0.61555,0.62110,5.94000,1.23109,3.14159,0
0.62824,0.60532,5.94000,1.25648,3.14159,0
0.64068,0.58953,5.94000,1.28136,3.14159,0
0.65288,0.57374,5.94000,1.30577,3.14159,0
0.66486,0.55795,5.94000,1.32973,3.14159,0
0.67663,0.54217,5.94000,1.35327,3.14159,0
0.68820,0.52638,5.94000,1.37640,3.14159,0
0.69958,0.51059,5.94000,1.39915,3.14159,0
0.71077,0.49481,5.94000,1.42154,3.14159,0
0.72179,0.47902,5.94000,1.44358,3.14159,0
0.73265,0.46323,5.94000,1.46529,3.14159,0
0.74334,0.44744,5.94000,1.48668,3.14159,0
0.75389,0.43166,5.94000,1.50777,3.14159,0
0.76428,0.41587,5.94000,1.52857,3.14159,0
0.77454,0.40008,5.94000,1.54909,3.14159,0
0.78310,0.38675,5.94000,1.56621,3.14159,0
0.79312,0.40254,5.94000,1.58624,3.14159,0
0.80312,0.41832,5.94000,1.57246,3.14159,0
0.81322,0.43411,5.94000,1.55225,3.14159,0
0.82346,0.44990,5.94000,1.53178,3.14159,0
0.83383,0.46569,5.94000,1.51103,3.14159,0
0.84436,0.48147,5.94000,1.48998,3.14159,0
0.85503,0.49726,5.94000,1.46864,3.14159,0
0.86586,0.51305,5.94000,1.44698,3.14159,0
0.87685,0.52884,5.94000,1.42499,3.14159,0
0.88802,0.54462,5.94000,1.40266,3.14159,0
0.89937,0.56041,5.94000,1.37996,3.14159,0
0.91090,0.57620,5.94000,1.35689,3.14159,0
0.92264,0.59198,5.94000,1.33342,3.14159,0
0.93459,0.60777,5.94000,1.30952,3.14159,0
0.94675,0.62356,5.94000,1.28519,3.14159,0
0.95916,0.63935,5.94000,1.26038,3.14159,0
0.97181,0.65513,5.94000,1.23507,3.14159,0
0.98473,0.67092,5.94000,1.20924,3.14159,0
0.99793,0.68671,5.94000,1.18284,3.14159,0
1.01143,0.70250,5.94000,1.15584,3.14159,0
1.02525,0.71828,5.94000,1.12819,3.14159,0
1.03942,0.73407,5.94000,1.09984,3.14159,0
1.05397,0.74986,5.94000,1.07075,3.14159,0
1.06892,0.76565,5.94000,1.04085,3.14159,0
1.08432,0.78143,5.94000,1.01005,3.14159,0
1.10020,0.79722,5.94000,0.97829,3.14159,0
1.11661,0.81301,5.94000,0.94547,3.14159,0
1.13362,0.82879,5.94000,0.91146,3.14159,0
1.15128,0.84458,5.94000,0.87614,3.14159,0
1.16969,0.86037,5.94000,0.83932,3.14159,0
1.18894,0.87616,5.94000,0.80082,3.14159,0
1.20916,0.89194,5.94000,0.76037,3.14159,0
1.23052,0.90773,5.94000,0.71765,3.14159,0
1.25324,0.92352,5.94000,0.67221,3.14159,0
1.27761,0.93931,5.94000,0.62347,3.14159,0
1.30405,0.95509,5.94000,0.57059,3.14159,0
1.33321,0.97088,5.94000,0.51227,3.14159,0
1.36615,0.98667,5.94000,0.44640,3.14159,0
1.40488,1.00246,5.94000,0.36894,3.14159,0
1.45428,1.01824,5.94000,0.27013,3.14159,0
1.46370,1.01579,5.94000,0.25130,3.14159,0
1.58935,1.00000,5.94000,0.00000,3.14159,16
