time,x_pos,y_pos,velocity,rotation,action
0.00000,13.03204,5.97746,0.00000,3.14159,0
0.12500,13.03815,5.99185,0.25001,-3.13692,0
0.17678,13.04418,6.00626,0.35356,-3.13225,0
0.21651,13.05012,6.02071,0.43302,-3.12758,0
0.25001,13.05599,6.03520,0.50001,-3.12291,0
0.27951,13.06176,6.04972,0.55903,-3.11824,0
0.30619,13.06745,6.06427,0.61239,-3.11357,0
0.33073,13.07304,6.07886,0.66145,-3.10891,0
0.35356,13.07855,6.09348,0.70712,-3.10424,0
0.37501,13.08395,6.10814,0.75002,-3.09957,0
0.39529,13.08926,6.12284,0.79059,-3.09490,0
0.41459,13.09447,6.13757,0.82917,-3.09023,0
0.43302,13.09958,6.15234,0.86604,-3.08556,0
0.45070,13.10458,6.16714,0.90141,-3.08089,0
0.46772,13.10947,6.18198,0.93543,-3.07622,0
0.48413,13.11426,6.19686,0.96827,-3.07155,0
0.50001,13.11893,6.21177,1.00002,-3.06688,0
0.51540,13.12348,6.22672,1.03080,-3.06221,0
0.53034,13.12792,6.24170,1.06068,-3.05754,0
0.54487,13.13223,6.25672,1.08975,-3.05287,0
0.55903,13.13642,6.27177,1.11806,-3.04820,0
0.57283,13.14048,6.28686,1.14567,-3.04353,0
0.58631,13.14441,6.30198,1.17263,-3.03886,0
0.59949,13.14820,6.31714,1.19898,-3.03419,0
0.61239,13.15186,6.33233,1.22477,-3.02952,0
0.62501,13.15537,6.34756,1.25003,-3.02485,0
0.63739,13.15873,6.36282,1.27478,-3.02018,0
0.64953,13.16195,6.37811,1.29907,-3.01551,0
0.66145,13.16501,6.39343,1.32290,-3.01084,0
0.67316,13.16792,6.40879,1.34632,-3.00617,0
0.68467,13.17065,6.42417,1.36934,-3.00150,0
0.69599,13.17323,6.43958,1.39197,-2.99683,0
0.70712,13.17563,6.45502,1.41424,-2.99216,0
0.71809,13.17786,6.47049,1.43617,-2.98749,0
0.72888,13.17990,6.48598,1.45777,-2.98282,0
0.73953,13.18176,6.50150,1.47905,-2.97816,0
0.75002,13.18343,6.51703,1.50003,-2.97349,0
0.76036,13.18490,6.53259,1.52072,-2.96882,0
0.77057,13.18617,6.54816,1.54114,-2.96415,0
0.78064,13.18723,6.56375,1.56128,-2.95948,0
0.79059,13.18808,6.57935,1.58117,-2.95481,0
0.80041,13.18871,6.59497,1.60081,-2.95014,0
0.81011,13.18913,6.61059,1.62022,-2.94547,0
0.81970,13.18931,6.62621,1.63939,-2.94080,0
0.82917,13.18926,6.64184,1.65835,-2.93613,0
0.83854,13.18897,6.65746,1.67709,-2.93146,0
0.84781,13.18843,6.67308,1.69562,-2.92679,0
0.85697,13.18764,6.68868,1.71395,-2.92212,0
0.86604,13.18660,6.70427,1.73209,-2.91745,0
0.87502,13.18529,6.71984,1.75004,-2.91278,0
0.88390,13.18371,6.73539,1.76780,-2.90811,0
0.89270,13.18186,6.75090,1.78539,-2.90344,0
0.90141,13.17974,6.76638,1.80281,-2.89877,0
0.91003,13.17732,6.78182,1.82006,-2.89410,0
0.91858,13.17462,6.79721,1.83715,-2.88943,0
0.92704,13.17163,6.81255,1.85409,-2.88476,0
0.93543,13.16834,6.82782,1.87087,-2.88009,0
0.94375,13.16475,6.84303,1.88750,-2.87542,0
0.95199,13.16085,6.85816,1.90398,-2.87075,0
0.96016,13.15665,6.87321,1.92032,-2.86608,0
0.96826,13.15214,6.88817,1.93653,-2.86142,0
0.97630,13.14731,6.90303,1.95260,-2.85675,0
0.98427,13.14217,6.91779,1.96854,-2.85208,0
0.99218,13.13671,6.93243,1.98435,-2.84741,0
1.00002,13.13094,6.94695,2.00000,-2.84274,0
1.00783,13.12485,6.96134,2.00000,-2.83805,0
1.01564,13.11845,6.97559,2.00000,-2.83332,0
1.02346,13.11173,6.98970,2.00000,-2.82856,0
1.03127,13.10470,7.00366,2.00000,-2.82377,0
1.03908,13.09736,7.01745,2.00000,-2.81893,0
1.04690,13.08972,7.03108,2.00000,-2.81406,0
