time,x_pos,y_pos,velocity,rotation,action
0.00000,14.77000,6.01000,0.00000,-2.40838,0
0.12515,14.77974,5.99774,0.25030,-2.41934,0
0.17699,14.78944,5.98544,0.35398,-2.43031,0
0.21677,14.79910,5.97311,0.43353,-2.44127,0
0.25030,14.80873,5.96076,0.50060,-2.45224,0
0.27984,14.81834,5.94839,0.55969,-2.46320,0
0.30655,14.82793,5.93600,0.61311,-2.47417,0
0.33112,14.83749,5.92360,0.66223,-2.48513,0
0.35398,14.84705,5.91119,0.70796,-2.49610,0
0.37545,14.85659,5.89877,0.75090,-2.50706,0
0.39576,14.86613,5.88634,0.79152,-2.51803,0
0.41508,14.87566,5.87391,0.83015,-2.52899,0
0.43353,14.88518,5.86148,0.86707,-2.53996,0
0.45124,14.89470,5.84905,0.90247,-2.55092,0
0.46827,14.90423,5.83661,0.93654,-2.56189,0
0.48471,14.91375,5.82418,0.96941,-2.57285,0
0.50060,14.92328,5.81174,1.00120,-2.58382,0
0.51601,14.93281,5.79931,1.03202,-2.59478,0
0.53097,14.94235,5.78689,1.06194,-2.60575,0
0.54552,14.95189,5.77447,1.09104,-2.61671,0
0.55969,14.96144,5.76206,1.11938,-2.62768,0
0.57351,14.97100,5.74965,1.14702,-2.63864,0
0.58701,14.98058,5.73726,1.17402,-2.64961,0
0.60020,14.99016,5.72487,1.20040,-2.66057,0
0.61311,14.99976,5.71249,1.22622,-2.67154,0
0.62575,15.00937,5.70013,1.25150,-2.68250,0
0.63814,15.01900,5.68777,1.27629,-2.69347,0
0.65033,15.02865,5.67544,1.29346,-2.70446,0
0.66244,15.03831,5.66311,1.29346,-2.71559,0
0.67455,15.04800,5.65080,1.29346,-2.72693,0
0.68666,15.05770,5.63851,1.29346,-2.73846,0
0.69877,15.06743,5.62623,1.29346,-2.75021,0
0.71088,15.07718,5.61397,1.29346,-2.76216,0
0.72299,15.08696,5.60173,1.29346,-2.77411,0
0.73510,15.09676,5.58952,1.29346,-2.78585,0
0.74721,15.10658,5.57732,1.29346,-2.79739,0
0.75932,15.11644,5.56515,1.29346,-2.80873,0
0.77143,15.12633,5.55300,1.29346,-2.81986,0
0.78362,15.13625,5.54088,1.27629,-2.83085,0
0.79601,15.14621,5.52879,1.25150,-2.84182,0
0.80865,15.15620,5.51673,1.22622,-2.85278,0
0.82156,15.16623,5.50470,1.20040,-2.86375,0
0.83475,15.17630,5.49270,1.17401,-2.87471,0
0.84825,15.18641,5.48074,1.14702,-2.88568,0
0.86207,15.19656,5.46882,1.11938,-2.89664,0
0.87624,15.20677,5.45693,1.09103,-2.90761,0
0.89079,15.21702,5.44509,1.06193,-2.91857,0
0.90575,15.22733,5.43330,1.03201,-2.92954,0
0.92116,15.23769,5.42155,1.00120,-2.94050,0
0.93705,15.24811,5.40986,0.96941,-2.95147,0
0.95349,15.25860,5.39823,0.93654,-2.96243,0
0.97052,15.26915,5.38665,0.90247,-2.97339,0
0.98823,15.27977,5.37514,0.86707,-2.98436,0
1.00668,15.29047,5.36371,0.83015,-2.99532,0
1.02600,15.30126,5.35235,0.79152,-3.00629,0
1.04631,15.31213,5.34107,0.75090,-3.01725,0
1.06778,15.32310,5.32989,0.70795,-3.02822,0
1.09064,15.33417,5.31881,0.66223,-3.03918,0
1.11521,15.34535,5.30784,0.61311,-3.05015,0
1.14192,15.35665,5.29700,0.55969,-3.06111,0
1.17146,15.36809,5.28630,0.50060,-3.07208,0
1.20499,15.37967,5.27576,0.43353,-3.08304,0
1.24477,15.39141,5.26539,0.35398,-3.09401,0
1.29661,15.40333,5.25523,0.25030,-3.10497,0
1.42176,15.41545,5.24531,0.00000,-3.11594,0
