time,x_pos,y_pos,velocity,rotation,action
0.00000,3.59726,4.01895,0.00000,0.00000,0
0.12558,3.58149,4.01858,0.25116,0.00000,0
0.17759,3.56573,4.01821,0.35519,0.00000,0
0.21751,3.54996,4.01785,0.43502,0.00000,0
0.25116,3.53420,4.01751,0.50231,0.00000,0
0.28080,3.51843,4.01717,0.56160,0.00000,0
0.30760,3.50266,4.01685,0.61521,0.00000,0
0.33225,3.48690,4.01654,0.66450,0.00000,0
0.35519,3.47113,4.01624,0.71038,0.00000,0
0.37673,3.45536,4.01596,0.75347,0.00000,0
0.39711,3.43959,4.01569,0.79423,0.00000,0
0.41650,3.42383,4.01543,0.83299,0.00000,0
0.43502,3.40806,4.01518,0.87003,0.00000,0
0.45278,3.39229,4.01494,0.90556,0.00000,0
0.46987,3.37652,4.01472,0.93974,0.00000,0
0.48636,3.36075,4.01451,0.97273,0.00000,0
0.50231,3.34498,4.01432,1.00463,0.00000,0
0.51777,3.32922,4.01414,1.03554,0.00000,0
0.53278,3.31345,4.01397,1.06557,0.00000,0
0.54738,3.29768,4.01381,1.09477,0.00000,0
0.56160,3.28191,4.01367,1.12321,0.00000,0
0.57547,3.26614,4.01355,1.15094,0.00000,0
0.58901,3.25037,4.01343,1.17803,0.00000,0
0.60225,3.23460,4.01333,1.20450,0.00000,0
0.61521,3.21883,4.01325,1.23041,0.00000,0
0.62789,3.20306,4.01318,1.25578,0.00000,0
0.64033,3.18729,4.01312,1.28065,0.00000,0
0.65252,3.17152,4.01308,1.30505,0.00000,0
0.66450,3.15575,4.01306,1.32900,0.00000,0
0.67626,3.13998,4.01304,1.35252,0.00000,0
0.68782,3.12421,4.01305,1.37564,0.00000,0
0.69919,3.10844,4.01307,1.39838,0.00000,0
0.71038,3.09267,4.01310,1.42076,0.00000,0
0.72139,3.07690,4.01315,1.44278,0.00000,0
0.73224,3.06113,4.01321,1.46448,0.00000,0
0.74293,3.04536,4.01328,1.48586,0.00000,0
0.75347,3.02959,4.01338,1.50694,0.00000,0
0.76386,3.01382,4.01348,1.52773,0.00000,0
0.77412,2.99805,4.01361,1.54823,0.00000,0
0.78424,2.98228,4.01374,1.56847,0.00000,0
0.79423,2.96651,4.01389,1.58845,0.00000,0
0.80409,2.95075,4.01406,1.60819,0.00000,0
0.81384,2.93498,4.01424,1.62768,0.00000,0
0.82347,2.91921,4.01444,1.64694,0.00000,0
0.83299,2.90344,4.01465,1.66598,0.00000,0
0.84240,2.88767,4.01487,1.68481,0.00000,0
0.85171,2.87190,4.01511,1.70343,0.00000,0
0.86092,2.85614,4.01536,1.72184,0.00000,0
0.87003,2.84037,4.01563,1.74006,0.00000,0
0.87909,2.82460,4.01591,1.74006,0.00000,0
0.88821,2.80883,4.01621,1.72184,0.00000,0
0.89741,2.79307,4.01652,1.70343,0.00000,0
0.90672,2.77730,4.01684,1.68481,0.00000,0
0.91613,2.76153,4.01717,1.66598,0.00000,0
0.92565,2.74577,4.01752,1.64694,0.00000,0
0.93529,2.73000,4.01788,1.62768,0.00000,0
0.94503,2.71424,4.01826,1.60819,0.00000,0
0.95490,2.69847,4.01864,1.58845,0.00000,0
0.96489,2.68271,4.01904,1.56847,0.00000,0
0.97501,2.66694,4.01945,1.54823,0.00000,0
0.98526,2.65118,4.01988,1.52773,0.00000,0
0.99566,2.63541,4.02031,1.50694,0.00000,0
1.00620,2.61965,4.02076,1.48586,0.00000,0
1.01689,2.60389,4.02121,1.46448,0.00000,0
1.02773,2.58812,4.02168,1.44278,0.00000,0
1.03875,2.57236,4.02215,1.42076,0.00000,0
1.04994,2.55660,4.02264,1.39838,0.00000,0
1.06131,2.54084,4.02314,1.37564,0.00000,0
1.07287,2.52507,4.02364,1.35252,0.00000,0
1.08463,2.50931,4.02416,1.32900,0.00000,0
1.09660,2.49355,4.02468,1.30505,0.00000,0
1.10880,2.47779,4.02521,1.28065,0.00000,0
1.12124,2.46203,4.02575,1.25578,0.00000,0
1.13392,2.44627,4.02630,1.23041,0.00000,0
1.14687,2.43051,4.02686,1.20450,0.00000,0
1.16011,2.41475,4.02742,1.17803,0.00000,0
1.17365,2.39899,4.02799,1.15094,0.00000,0
1.18752,2.38323,4.02857,1.12321,0.00000,0
1.20174,2.36747,4.02915,1.09477,0.00000,0
1.21634,2.35171,4.02974,1.06557,0.00000,0
1.23135,2.33595,4.03033,1.03555,0.00000,0
1.24681,2.32020,4.03093,1.00463,0.00000,0
1.26276,2.30444,4.03153,0.97273,0.00000,0
1.27926,2.28868,4.03214,0.93974,0.00000,0
1.29635,2.27292,4.03275,0.90556,0.00000,0
1.31411,2.25716,4.03337,0.87003,0.00000,0
1.33263,2.24141,4.03399,0.83299,0.00000,0
1.35201,2.22565,4.03461,0.79423,0.00000,0
1.37239,2.20989,4.03524,0.75347,0.00000,0
1.39394,2.19413,4.03587,0.71038,0.00000,0
1.41688,2.17838,4.03650,0.66450,0.00000,0
1.44152,2.16262,4.03714,0.61521,0.00000,0
1.46832,2.14686,4.03777,0.56160,0.00000,0
1.49797,2.13110,4.03841,0.50231,0.00000,0
1.53162,2.11535,4.03905,0.43502,0.00000,0
1.57153,2.09959,4.03969,0.35519,0.00000,0
1.62355,2.08383,4.04034,0.25116,0.00000,0
1.74913,2.06808,4.04098,0.00000,0.00000,0
